u_id,password,name,mail,age,gender,status,children,date,license

"790fb1e32887150060a8c3e470257b2dcd47f8a638ed6f84c096818158c91596","pass1","Alice","user1@example.com","25","Male","Single","0","1999-01-01","2"

"b24f676b1bc771033f24d27e433bb8c05606d701f285d8d010cb99b9a61b9f27","pass2","Bob","user2@example.com","30","Female","Married","2","1994-05-15","1"

"5241cd310a3c14854fb4fff222a8018ec68bd8f2b802a1d69492b2de753b8b24","pass3","Charlie","user3@example.com","28","Other","Divorced","1","1996-07-22","0"

"c85077be6eb9f1fe7b85901a87d17c1449223827af05f2e0b89ba7a7ba4c4c90","pass4","Diana","user4@example.com","22","Male","Single","0","2002-10-10","4"

"c1b385f0e66114354cc295f3d62adc60afac757120dfe7b1e4c356f8fc5654bb","pass1","Alice","user1@example.com","25","Male","Single","0","1999-01-01","2"

"6a2f736f33345271c4da14d2f6c25858420ba4bbd72dc0aeab7ff3894e673f42","pass2","Bob","user2@example.com","30","Female","Married","2","1994-05-15","1"

"a417c059a5ebb1209d54b70aa5c365a60bcb97656f346c1dd8cfe6614b94985e","pass3","Charlie","user3@example.com","28","Other","Divorced","1","1996-07-22","0"

"90fff528ee449f75b415d30b5db9b85e0434ae706959c189fbed32213b91b649","pass4","Diana","user4@example.com","22","Male","Single","0","2002-10-10","4"
